timestamp_ms,machine_id,sensor_axis,rpm,overall_rms_velocity_mms,peak_acceleration_g,bearing_crest_factor,1x_unbalance_amp,2x_misalignment_amp,bpfo_fault_energy,iso_10816_zone,alarm_state
1726248000000,PUMP_301A,RADIAL_DRIVE_END,2980,1.8,0.45,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000050,PUMP_301A,RADIAL_DRIVE_END,2981,1.82,0.46,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000100,PUMP_301A,RADIAL_DRIVE_END,2982,1.84,0.47,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000150,PUMP_301A,RADIAL_DRIVE_END,2983,1.86,0.48,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000200,PUMP_301A,RADIAL_DRIVE_END,2984,1.88,0.45,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000250,PUMP_301A,RADIAL_DRIVE_END,2980,1.9,0.46,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000300,PUMP_301A,RADIAL_DRIVE_END,2981,1.92,0.47,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000350,PUMP_301A,RADIAL_DRIVE_END,2982,1.8,0.48,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000400,PUMP_301A,RADIAL_DRIVE_END,2983,1.82,0.45,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000450,PUMP_301A,RADIAL_DRIVE_END,2984,1.84,0.46,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000500,PUMP_301A,RADIAL_DRIVE_END,2980,1.86,0.47,2.9,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000550,PUMP_301A,RADIAL_DRIVE_END,2981,1.88,0.48,3.0,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
1726248000600,PUMP_301A,RADIAL_DRIVE_END,2982,1.9,0.45,2.8,0.42,0.18,0.02,ZONE_A_NEW,NORMAL
